Período,ÁMBITO GEOGRÁFICO,NIVEL DE CONFIANZA,Numero Faltas
Nov 2015 - Abr 2016,NACIONAL,NADA / POCO,62.803085327148402
Nov 2015 - Abr 2016,NACIONAL,SUFICIENTE / BASTANTE,22.933233261108299
Nov 2015 - Abr 2016,NACIONAL,NO SABE,14.2636804580688
Nov 2015 - Abr 2016,URBANO,NADA / POCO,65.831497192382798
Nov 2015 - Abr 2016,URBANO,SUFICIENTE / BASTANTE,25.576820373535099
Nov 2015 - Abr 2016,URBANO,NO SABE,8.5916843414306605
Nov 2015 - Abr 2016,RURAL,NADA / POCO,50.820953369140597
Nov 2015 - Abr 2016,RURAL,SUFICIENTE / BASTANTE,12.473669052124
Nov 2015 - Abr 2016,RURAL,NO SABE,36.705379486083899
Dic 2015 - May 2016,NACIONAL,NADA / POCO,62.7807006835937
Dic 2015 - May 2016,NACIONAL,SUFICIENTE / BASTANTE,23.018587112426701
Dic 2015 - May 2016,NACIONAL,NO SABE,14.2007141113281
Dic 2015 - May 2016,URBANO,NADA / POCO,65.814788818359304
Dic 2015 - May 2016,URBANO,SUFICIENTE / BASTANTE,25.5649108886718
Dic 2015 - May 2016,URBANO,NO SABE,8.62030029296875
Dic 2015 - May 2016,RURAL,NADA / POCO,50.755657196044901
Dic 2015 - May 2016,RURAL,SUFICIENTE / BASTANTE,12.9267044067382
Dic 2015 - May 2016,RURAL,NO SABE,36.317638397216697
Ene 2016 - Jun 2016,NACIONAL,NADA / POCO,63.178138732910099
Ene 2016 - Jun 2016,NACIONAL,SUFICIENTE / BASTANTE,23.0402812957763
Ene 2016 - Jun 2016,NACIONAL,NO SABE,13.7815790176391
Ene 2016 - Jun 2016,URBANO,NADA / POCO,66.400665283203097
Ene 2016 - Jun 2016,URBANO,SUFICIENTE / BASTANTE,25.4681892395019
Ene 2016 - Jun 2016,URBANO,NO SABE,8.1311435699462802
Ene 2016 - Jun 2016,RURAL,NADA / POCO,50.3555297851562
Ene 2016 - Jun 2016,RURAL,SUFICIENTE / BASTANTE,13.3795099258422
Ene 2016 - Jun 2016,RURAL,NO SABE,36.264961242675703
Feb 2016 - Jul 2016,NACIONAL,NADA / POCO,63.061485290527301
Feb 2016 - Jul 2016,NACIONAL,SUFICIENTE / BASTANTE,22.733423233032202
Feb 2016 - Jul 2016,NACIONAL,NO SABE,14.205093383789
Feb 2016 - Jul 2016,URBANO,NADA / POCO,66.343650817870994
Feb 2016 - Jul 2016,URBANO,SUFICIENTE / BASTANTE,25.09663772583
Feb 2016 - Jul 2016,URBANO,NO SABE,8.5597105026245099
Feb 2016 - Jul 2016,RURAL,NADA / POCO,49.982208251953097
Feb 2016 - Jul 2016,RURAL,SUFICIENTE / BASTANTE,13.316133499145501
Feb 2016 - Jul 2016,RURAL,NO SABE,36.701656341552699
Mar 2016 - Ago 2016,NACIONAL,NADA / POCO,63.012741088867102
Mar 2016 - Ago 2016,NACIONAL,SUFICIENTE / BASTANTE,22.7734279632568
Mar 2016 - Ago 2016,NACIONAL,NO SABE,14.213829040527299
Mar 2016 - Ago 2016,URBANO,NADA / POCO,66.101943969726506
Mar 2016 - Ago 2016,URBANO,SUFICIENTE / BASTANTE,25.050035476684499
Mar 2016 - Ago 2016,URBANO,NO SABE,8.8480176925659109
Mar 2016 - Ago 2016,RURAL,NADA / POCO,50.7216186523437
Mar 2016 - Ago 2016,RURAL,SUFICIENTE / BASTANTE,13.7154064178466
Mar 2016 - Ago 2016,RURAL,NO SABE,35.562973022460902
Abr 2016 - Sep 2016,NACIONAL,NADA / POCO,63.127288818359297
Abr 2016 - Sep 2016,NACIONAL,SUFICIENTE / BASTANTE,22.359088897705
Abr 2016 - Sep 2016,NACIONAL,NO SABE,14.5136241912841
Abr 2016 - Sep 2016,URBANO,NADA / POCO,66.003440856933494
Abr 2016 - Sep 2016,URBANO,SUFICIENTE / BASTANTE,24.610860824584901
Abr 2016 - Sep 2016,URBANO,NO SABE,9.3856935501098597
Abr 2016 - Sep 2016,RURAL,NADA / POCO,51.682933807372997
Abr 2016 - Sep 2016,RURAL,SUFICIENTE / BASTANTE,13.3991842269897
Abr 2016 - Sep 2016,RURAL,NO SABE,34.917884826660099
May 2016 - Oct 2016,NACIONAL,NADA / POCO,62.817390441894503
May 2016 - Oct 2016,NACIONAL,SUFICIENTE / BASTANTE,22.6623840332031
May 2016 - Oct 2016,NACIONAL,NO SABE,14.5202264785766
May 2016 - Oct 2016,URBANO,NADA / POCO,65.401611328125
May 2016 - Oct 2016,URBANO,SUFICIENTE / BASTANTE,24.975404739379801
May 2016 - Oct 2016,URBANO,NO SABE,9.6229829788208008
May 2016 - Oct 2016,RURAL,NADA / POCO,52.485694885253899
May 2016 - Oct 2016,RURAL,SUFICIENTE / BASTANTE,13.414948463439901
May 2016 - Oct 2016,RURAL,NO SABE,34.099353790283203
Jun 2016 - Nov 2016,NACIONAL,NADA / POCO,62.622356414794901
Jun 2016 - Nov 2016,NACIONAL,SUFICIENTE / BASTANTE,22.578912734985298
Jun 2016 - Nov 2016,NACIONAL,NO SABE,14.798729896545399
Jun 2016 - Nov 2016,URBANO,NADA / POCO,65.081474304199205
Jun 2016 - Nov 2016,URBANO,SUFICIENTE / BASTANTE,24.990066528320298
Jun 2016 - Nov 2016,URBANO,NO SABE,9.9284610748290998
Jun 2016 - Nov 2016,RURAL,NADA / POCO,52.782344818115199
Jun 2016 - Nov 2016,RURAL,SUFICIENTE / BASTANTE,12.9308147430419
Jun 2016 - Nov 2016,RURAL,NO SABE,34.286838531494098
Jul 2016 - Dic 2016,NACIONAL,NADA / POCO,62.725551605224602
Jul 2016 - Dic 2016,NACIONAL,SUFICIENTE / BASTANTE,22.304744720458899
Jul 2016 - Dic 2016,NACIONAL,NO SABE,14.969702720641999
Jul 2016 - Dic 2016,URBANO,NADA / POCO,65.272361755370994
Jul 2016 - Dic 2016,URBANO,SUFICIENTE / BASTANTE,24.660573959350501
Jul 2016 - Dic 2016,URBANO,NO SABE,10.0670623779296
Jul 2016 - Dic 2016,RURAL,NADA / POCO,52.491069793701101
Jul 2016 - Dic 2016,RURAL,SUFICIENTE / BASTANTE,12.837719917297299
Jul 2016 - Dic 2016,RURAL,NO SABE,34.671211242675703
Ago 2016 - Ene 2017,NACIONAL,NADA / POCO,63.118189999999998
Ago 2016 - Ene 2017,NACIONAL,SUFICIENTE / BASTANTE,22.140899999999998
Ago 2016 - Ene 2017,NACIONAL,NO SABE,14.74091
Ago 2016 - Ene 2017,URBANO,NADA / POCO,65.72175
Ago 2016 - Ene 2017,URBANO,SUFICIENTE / BASTANTE,24.416329999999999
Ago 2016 - Ene 2017,URBANO,NO SABE,9.8619249999999994
Ago 2016 - Ene 2017,RURAL,NADA / POCO,52.602359999999997
Ago 2016 - Ene 2017,RURAL,SUFICIENTE / BASTANTE,12.950369999999999
Ago 2016 - Ene 2017,RURAL,NO SABE,34.447270000000003
Sep 2016 - Feb 2017,NACIONAL,NADA / POCO,63.072960000000002
Sep 2016 - Feb 2017,NACIONAL,SUFICIENTE / BASTANTE,22.0883
Sep 2016 - Feb 2017,NACIONAL,NO SABE,14.83874
Sep 2016 - Feb 2017,URBANO,NADA / POCO,65.907560000000004
Sep 2016 - Feb 2017,URBANO,SUFICIENTE / BASTANTE,24.45336
Sep 2016 - Feb 2017,URBANO,NO SABE,9.6390829999999994
Sep 2016 - Feb 2017,RURAL,NADA / POCO,51.562480000000001
Sep 2016 - Feb 2017,RURAL,SUFICIENTE / BASTANTE,12.484540000000001
Sep 2016 - Feb 2017,RURAL,NO SABE,35.952979999999997
Oct 2016 - Mar 2017,NACIONAL,NADA / POCO,63.073360000000001
Oct 2016 - Mar 2017,NACIONAL,SUFICIENTE / BASTANTE,22.099119999999999
Oct 2016 - Mar 2017,NACIONAL,NO SABE,14.827529999999999
Oct 2016 - Mar 2017,URBANO,NADA / POCO,66.182569999999998
Oct 2016 - Mar 2017,URBANO,SUFICIENTE / BASTANTE,24.460070000000002
Oct 2016 - Mar 2017,URBANO,NO SABE,9.3573590000000006
Oct 2016 - Mar 2017,RURAL,NADA / POCO,50.42398
Oct 2016 - Mar 2017,RURAL,SUFICIENTE / BASTANTE,12.493919999999999
Oct 2016 - Mar 2017,RURAL,NO SABE,37.082099999999997
Nov 2016 - Abr 2017,NACIONAL,NADA / POCO,63.281999999999996
Nov 2016 - Abr 2017,NACIONAL,SUFICIENTE / BASTANTE,22.069520000000001
Nov 2016 - Abr 2017,NACIONAL,NO SABE,14.64847
Nov 2016 - Abr 2017,URBANO,NADA / POCO,66.583569999999995
Nov 2016 - Abr 2017,URBANO,SUFICIENTE / BASTANTE,24.388470000000002
Nov 2016 - Abr 2017,URBANO,NO SABE,9.0279539999999994
Nov 2016 - Abr 2017,RURAL,NADA / POCO,49.843589999999999
Nov 2016 - Abr 2017,RURAL,SUFICIENTE / BASTANTE,12.63069
Nov 2016 - Abr 2017,RURAL,NO SABE,37.52572
Dic 2016 - May 2017,NACIONAL,NADA / POCO,63.074579999999997
Dic 2016 - May 2017,NACIONAL,SUFICIENTE / BASTANTE,22.65258
Dic 2016 - May 2017,NACIONAL,NO SABE,14.27284
Dic 2016 - May 2017,URBANO,NADA / POCO,66.168880000000001
Dic 2016 - May 2017,URBANO,SUFICIENTE / BASTANTE,25.170950000000001
Dic 2016 - May 2017,URBANO,NO SABE,8.6601689999999998
Dic 2016 - May 2017,RURAL,NADA / POCO,50.42042
Dic 2016 - May 2017,RURAL,SUFICIENTE / BASTANTE,12.35371
Dic 2016 - May 2017,RURAL,NO SABE,37.22587
Ene 2017 - Jun 2017,NACIONAL,NADA / POCO,63.177590000000002
Ene 2017 - Jun 2017,NACIONAL,SUFICIENTE / BASTANTE,22.755179999999999
Ene 2017 - Jun 2017,NACIONAL,NO SABE,14.067220000000001
Ene 2017 - Jun 2017,URBANO,NADA / POCO,66.216290000000001
Ene 2017 - Jun 2017,URBANO,SUFICIENTE / BASTANTE,25.273589999999999
Ene 2017 - Jun 2017,URBANO,NO SABE,8.5101220000000009
Ene 2017 - Jun 2017,RURAL,NADA / POCO,50.746720000000003
Ene 2017 - Jun 2017,RURAL,SUFICIENTE / BASTANTE,12.45276
Ene 2017 - Jun 2017,RURAL,NO SABE,36.800519999999999
Feb 2017 - Jul 2017,NACIONAL,NADA / POCO,63.323970000000003
Feb 2017 - Jul 2017,NACIONAL,SUFICIENTE / BASTANTE,22.225909999999999
Feb 2017 - Jul 2017,NACIONAL,NO SABE,14.45012
Feb 2017 - Jul 2017,URBANO,NADA / POCO,66.362099999999998
Feb 2017 - Jul 2017,URBANO,SUFICIENTE / BASTANTE,24.761240000000001
Feb 2017 - Jul 2017,URBANO,NO SABE,8.8766630000000006
Feb 2017 - Jul 2017,RURAL,NADA / POCO,50.878700000000002
Feb 2017 - Jul 2017,RURAL,SUFICIENTE / BASTANTE,11.840310000000001
Feb 2017 - Jul 2017,RURAL,NO SABE,37.280990000000003
Mar 2017 - Ago 2017,NACIONAL,NADA / POCO,63.284970000000001
Mar 2017 - Ago 2017,NACIONAL,SUFICIENTE / BASTANTE,21.791910000000001
Mar 2017 - Ago 2017,NACIONAL,NO SABE,14.923120000000001
Mar 2017 - Ago 2017,URBANO,NADA / POCO,66.176060000000007
Mar 2017 - Ago 2017,URBANO,SUFICIENTE / BASTANTE,24.279530000000001
Mar 2017 - Ago 2017,URBANO,NO SABE,9.5444089999999999
Mar 2017 - Ago 2017,RURAL,NADA / POCO,51.39526
Mar 2017 - Ago 2017,RURAL,SUFICIENTE / BASTANTE,11.561439999999999
Mar 2017 - Ago 2017,RURAL,NO SABE,37.043300000000002
Abr 2017 - Sep 2017,NACIONAL,NADA / POCO,63.591929999999998
Abr 2017 - Sep 2017,NACIONAL,SUFICIENTE / BASTANTE,21.507999999999999
Abr 2017 - Sep 2017,NACIONAL,NO SABE,14.900069999999999
Abr 2017 - Sep 2017,URBANO,NADA / POCO,66.335539999999995
Abr 2017 - Sep 2017,URBANO,SUFICIENTE / BASTANTE,24.00713
Abr 2017 - Sep 2017,URBANO,NO SABE,9.6573279999999997
Abr 2017 - Sep 2017,RURAL,NADA / POCO,52.253219999999999
Abr 2017 - Sep 2017,RURAL,SUFICIENTE / BASTANTE,11.17967
Abr 2017 - Sep 2017,RURAL,NO SABE,36.567120000000003
May 2017 - Oct 2017,NACIONAL,NADA / POCO,63.813020000000002
May 2017 - Oct 2017,NACIONAL,SUFICIENTE / BASTANTE,20.811109999999999
May 2017 - Oct 2017,NACIONAL,NO SABE,15.375870000000001
May 2017 - Oct 2017,URBANO,NADA / POCO,66.328249999999997
May 2017 - Oct 2017,URBANO,SUFICIENTE / BASTANTE,23.187850000000001
May 2017 - Oct 2017,URBANO,NO SABE,10.4839
May 2017 - Oct 2017,RURAL,NADA / POCO,53.379240000000003
May 2017 - Oct 2017,RURAL,SUFICIENTE / BASTANTE,10.951790000000001
May 2017 - Oct 2017,RURAL,NO SABE,35.668970000000002
Jun 2017 - Nov 2017,NACIONAL,NADA / POCO,64.781229999999994
Jun 2017 - Nov 2017,NACIONAL,SUFICIENTE / BASTANTE,19.66582
Jun 2017 - Nov 2017,NACIONAL,NO SABE,15.552949999999999
Jun 2017 - Nov 2017,URBANO,NADA / POCO,67.637900000000002
Jun 2017 - Nov 2017,URBANO,SUFICIENTE / BASTANTE,21.601970000000001
Jun 2017 - Nov 2017,URBANO,NO SABE,10.76013
Jun 2017 - Nov 2017,RURAL,NADA / POCO,52.92783
Jun 2017 - Nov 2017,RURAL,SUFICIENTE / BASTANTE,11.632009999999999
Jun 2017 - Nov 2017,RURAL,NO SABE,35.440159999999999
Jul 2017 - Dic 2017,NACIONAL,NADA / POCO,64.355999999999995
Jul 2017 - Dic 2017,NACIONAL,SUFICIENTE / BASTANTE,19.692419999999998
Jul 2017 - Dic 2017,NACIONAL,NO SABE,15.95158
Jul 2017 - Dic 2017,URBANO,NADA / POCO,67.11251
Jul 2017 - Dic 2017,URBANO,SUFICIENTE / BASTANTE,21.70514
Jul 2017 - Dic 2017,URBANO,NO SABE,11.18235
Jul 2017 - Dic 2017,RURAL,NADA / POCO,52.862110000000001
Jul 2017 - Dic 2017,RURAL,SUFICIENTE / BASTANTE,11.29993
Jul 2017 - Dic 2017,RURAL,NO SABE,35.837969999999999
Ago 2017 - Ene 2018,NACIONAL,NADA / POCO,64.047839999999994
Ago 2017 - Ene 2018,NACIONAL,SUFICIENTE / BASTANTE,19.719629999999999
Ago 2017 - Ene 2018,NACIONAL,NO SABE,16.232530000000001
Ago 2017 - Ene 2018,URBANO,NADA / POCO,66.709389999999999
Ago 2017 - Ene 2018,URBANO,SUFICIENTE / BASTANTE,21.798079999999999
Ago 2017 - Ene 2018,URBANO,NO SABE,11.49253
Ago 2017 - Ene 2018,RURAL,NADA / POCO,52.937669999999997
Ago 2017 - Ene 2018,RURAL,SUFICIENTE / BASTANTE,11.043509999999999
Ago 2017 - Ene 2018,RURAL,NO SABE,36.018819999999998
Sep 2017 - Feb 2018,NACIONAL,NADA / POCO,64.427009999999996
Sep 2017 - Feb 2018,NACIONAL,SUFICIENTE / BASTANTE,19.43656
Sep 2017 - Feb 2018,NACIONAL,NO SABE,16.136430000000001
Sep 2017 - Feb 2018,URBANO,NADA / POCO,67.091070000000002
Sep 2017 - Feb 2018,URBANO,SUFICIENTE / BASTANTE,21.517199999999999
Sep 2017 - Feb 2018,URBANO,NO SABE,11.391719999999999
Sep 2017 - Feb 2018,RURAL,NADA / POCO,53.320050000000002
Sep 2017 - Feb 2018,RURAL,SUFICIENTE / BASTANTE,10.76201
Sep 2017 - Feb 2018,RURAL,NO SABE,35.917929999999998
Oct 2017 - Mar 2018,NACIONAL,NADA / POCO,64.393360000000001
Oct 2017 - Mar 2018,NACIONAL,SUFICIENTE / BASTANTE,19.443110000000001
Oct 2017 - Mar 2018,NACIONAL,NO SABE,16.163519999999998
Oct 2017 - Mar 2018,URBANO,NADA / POCO,67.134270000000001
Oct 2017 - Mar 2018,URBANO,SUFICIENTE / BASTANTE,21.431539999999998
Oct 2017 - Mar 2018,URBANO,NO SABE,11.434189999999999
Oct 2017 - Mar 2018,RURAL,NADA / POCO,52.942369999999997
Oct 2017 - Mar 2018,RURAL,SUFICIENTE / BASTANTE,11.135809999999999
Oct 2017 - Mar 2018,RURAL,NO SABE,35.921819999999997
Nov 2017 - Abr 2018,NACIONAL,NADA / POCO,64.535820000000001
Nov 2017 - Abr 2018,NACIONAL,SUFICIENTE / BASTANTE,20.01127
Nov 2017 - Abr 2018,NACIONAL,NO SABE,15.452909999999999
Nov 2017 - Abr 2018,URBANO,NADA / POCO,67.291200000000003
Nov 2017 - Abr 2018,URBANO,SUFICIENTE / BASTANTE,22.05677
Nov 2017 - Abr 2018,URBANO,NO SABE,10.65202
Nov 2017 - Abr 2018,RURAL,NADA / POCO,52.977429999999998
Nov 2017 - Abr 2018,RURAL,SUFICIENTE / BASTANTE,11.430730000000001
Nov 2017 - Abr 2018,RURAL,NO SABE,35.591839999999998
Dic 2017 - May 2018,NACIONAL,NADA / POCO,64.637140000000002
Dic 2017 - May 2018,NACIONAL,SUFICIENTE / BASTANTE,20.091850000000001
Dic 2017 - May 2018,NACIONAL,NO SABE,15.27101
Dic 2017 - May 2018,URBANO,NADA / POCO,67.222369999999998
Dic 2017 - May 2018,URBANO,SUFICIENTE / BASTANTE,22.176349999999999
Dic 2017 - May 2018,URBANO,NO SABE,10.601279999999999
Dic 2017 - May 2018,RURAL,NADA / POCO,53.745600000000003
Dic 2017 - May 2018,RURAL,SUFICIENTE / BASTANTE,11.309900000000001
Dic 2017 - May 2018,RURAL,NO SABE,34.944499999999998
Ene 2018 - Jun 2018,NACIONAL,NADA / POCO,65.921670000000006
Ene 2018 - Jun 2018,NACIONAL,SUFICIENTE / BASTANTE,19.24099
Ene 2018 - Jun 2018,NACIONAL,NO SABE,14.837339999999999
Ene 2018 - Jun 2018,URBANO,NADA / POCO,68.626339999999999
Ene 2018 - Jun 2018,URBANO,SUFICIENTE / BASTANTE,21.08475
Ene 2018 - Jun 2018,URBANO,NO SABE,10.288919999999999
Ene 2018 - Jun 2018,RURAL,NADA / POCO,54.511920000000003
Ene 2018 - Jun 2018,RURAL,SUFICIENTE / BASTANTE,11.46306
Ene 2018 - Jun 2018,RURAL,NO SABE,34.025019999999998
Feb 2018 - Jul 2018,NACIONAL,NADA / POCO,66.967730000000003
Feb 2018 - Jul 2018,NACIONAL,SUFICIENTE / BASTANTE,18.585070000000002
Feb 2018 - Jul 2018,NACIONAL,NO SABE,14.4472
Feb 2018 - Jul 2018,URBANO,NADA / POCO,69.840389999999999
Feb 2018 - Jul 2018,URBANO,SUFICIENTE / BASTANTE,20.347439999999999
